"Notes"	"Cause of death"	"Cause of death Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	216	10157924	2.1
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	196	10211937	1.9
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	160	10053779	1.6
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	167	10005715	1.7
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	127	9946279	1.3
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	153	9587365	1.6
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	116	9637462	1.2
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	113	9488430	1.2
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	109	9447846	1.2
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	111	9390497	1.2
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	19	10157924	Unreliable
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	18	10211937	Unreliable
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	15	10053779	Unreliable
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	18	10005715	Unreliable
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	16	9946279	Unreliable
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Male"	"M"	"2016"	"2016"	"New York"	"36"	20	9587365	0.2
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Male"	"M"	"2017"	"2017"	"New York"	"36"	18	9637462	Unreliable
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Male"	"M"	"2018"	"2018"	"New York"	"36"	17	9488430	Unreliable
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Male"	"M"	"2019"	"2019"	"New York"	"36"	10	9447846	Unreliable
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Male"	"M"	"2020 "	"2020"	"New York"	"36"	13	9390497	Unreliable
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Female"	"F"	"2016"	"2016"	"New York"	"36"	83	10157924	0.8
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Female"	"F"	"2017"	"2017"	"New York"	"36"	87	10211937	0.9
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Female"	"F"	"2018"	"2018"	"New York"	"36"	90	10053779	0.9
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Female"	"F"	"2019"	"2019"	"New York"	"36"	99	10005715	1.0
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"Female"	"F"	"2020 "	"2020"	"New York"	"36"	116	9946279	1.2
