"Notes"	"Census Region"	"Census Region Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	16	13099752	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	18	60928212	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	26	13301404	0.2
	"Census Region 1: Northeast"	"CENS-R1"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	89	63469016	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	10	7008403	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	62	12519689	0.5
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	158	60315135	0.3
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	29	6429130	0.5
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	154	11512428	1.3
	"Census Region 1: Northeast"	"CENS-R1"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	586	61387291	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"Atherosclerotic heart disease"	"I25.1"	28	6247023	0.4
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Female"	"F"	"Black or African American"	"2054-5"	"Atherosclerotic heart disease"	"I25.1"	367	12253357	3.0
	"Census Region 1: Northeast"	"CENS-R1"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	"Atherosclerotic heart disease"	"I25.1"	1004	66579805	1.5
