"Notes"	"Cause of death"	"Cause of death Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Cholera, unspecified"	"A00.9"	"2013"	"2013"	1	316128839	Unreliable
	"Cholera, unspecified"	"A00.9"	"2015"	"2015"	1	321418820	Unreliable
	"Cholera, unspecified"	"A00.9"	"2018"	"2018"	1	327167434	Unreliable
	"Cholera, unspecified"	"A00.9"	"2019"	"2019"	2	328239523	Unreliable
	"Cholera, unspecified"	"A00.9"	"2020 "	"2020"	1	329484123	Unreliable
	"Paratyphoid fever, unspecified"	"A01.4"	"2015"	"2015"	1	321418820	Unreliable
	"Paratyphoid fever, unspecified"	"A01.4"	"2019"	"2019"	1	328239523	Unreliable
	"Salmonella enteritis"	"A02.0"	"2011"	"2011"	11	311591917	Unreliable
	"Salmonella enteritis"	"A02.0"	"2012"	"2012"	11	313914040	Unreliable
	"Salmonella enteritis"	"A02.0"	"2013"	"2013"	12	316128839	Unreliable
	"Salmonella enteritis"	"A02.0"	"2014"	"2014"	11	318857056	Unreliable
	"Salmonella enteritis"	"A02.0"	"2015"	"2015"	17	321418820	Unreliable
	"Salmonella enteritis"	"A02.0"	"2016"	"2016"	8	323127513	Unreliable
	"Salmonella enteritis"	"A02.0"	"2017"	"2017"	9	325719178	Unreliable
	"Salmonella enteritis"	"A02.0"	"2018"	"2018"	11	327167434	Unreliable
	"Salmonella enteritis"	"A02.0"	"2019"	"2019"	13	328239523	Unreliable
	"Salmonella enteritis"	"A02.0"	"2020 "	"2020"	13	329484123	Unreliable
	"Salmonella septicaemia"	"A02.1"	"2011"	"2011"	26	311591917	0.0
	"Salmonella septicaemia"	"A02.1"	"2012"	"2012"	28	313914040	0.0
	"Salmonella septicaemia"	"A02.1"	"2013"	"2013"	23	316128839	0.0
	"Salmonella septicaemia"	"A02.1"	"2014"	"2014"	23	318857056	0.0
	"Salmonella septicaemia"	"A02.1"	"2015"	"2015"	26	321418820	0.0
	"Salmonella septicaemia"	"A02.1"	"2016"	"2016"	26	323127513	0.0
	"Salmonella septicaemia"	"A02.1"	"2017"	"2017"	26	325719178	0.0
	"Salmonella septicaemia"	"A02.1"	"2018"	"2018"	35	327167434	0.0
	"Salmonella septicaemia"	"A02.1"	"2019"	"2019"	24	328239523	0.0
	"Salmonella septicaemia"	"A02.1"	"2020 "	"2020"	33	329484123	0.0
	"Localized salmonella infections"	"A02.2"	"2011"	"2011"	1	311591917	Unreliable
	"Localized salmonella infections"	"A02.2"	"2012"	"2012"	2	313914040	Unreliable
	"Localized salmonella infections"	"A02.2"	"2013"	"2013"	2	316128839	Unreliable
	"Localized salmonella infections"	"A02.2"	"2014"	"2014"	2	318857056	Unreliable
	"Localized salmonella infections"	"A02.2"	"2015"	"2015"	3	321418820	Unreliable
	"Localized salmonella infections"	"A02.2"	"2016"	"2016"	1	323127513	Unreliable
	"Localized salmonella infections"	"A02.2"	"2017"	"2017"	6	325719178	Unreliable
	"Localized salmonella infections"	"A02.2"	"2018"	"2018"	2	327167434	Unreliable
	"Localized salmonella infections"	"A02.2"	"2019"	"2019"	7	328239523	Unreliable
	"Localized salmonella infections"	"A02.2"	"2020 "	"2020"	3	329484123	Unreliable
	"Salmonella infection, unspecified"	"A02.9"	"2011"	"2011"	6	311591917	Unreliable
	"Salmonella infection, unspecified"	"A02.9"	"2012"	"2012"	3	313914040	Unreliable
	"Salmonella infection, unspecified"	"A02.9"	"2013"	"2013"	3	316128839	Unreliable
	"Salmonella infection, unspecified"	"A02.9"	"2014"	"2014"	9	318857056	Unreliable
	"Salmonella infection, unspecified"	"A02.9"	"2015"	"2015"	6	321418820	Unreliable
	"Salmonella infection, unspecified"	"A02.9"	"2016"	"2016"	2	323127513	Unreliable
	"Salmonella infection, unspecified"	"A02.9"	"2017"	"2017"	8	325719178	Unreliable
	"Salmonella infection, unspecified"	"A02.9"	"2018"	"2018"	10	327167434	Unreliable
	"Salmonella infection, unspecified"	"A02.9"	"2019"	"2019"	8	328239523	Unreliable
	"Salmonella infection, unspecified"	"A02.9"	"2020 "	"2020"	9	329484123	Unreliable
	"Shigellosis due to Shigella dysenteriae"	"A03.0"	"2013"	"2013"	1	316128839	Unreliable
	"Shigellosis due to Shigella dysenteriae"	"A03.0"	"2017"	"2017"	1	325719178	Unreliable
	"Shigellosis due to Shigella dysenteriae"	"A03.0"	"2018"	"2018"	1	327167434	Unreliable
	"Shigellosis due to Shigella dysenteriae"	"A03.0"	"2019"	"2019"	1	328239523	Unreliable
	"Shigellosis due to Shigella sonnei"	"A03.3"	"2015"	"2015"	1	321418820	Unreliable
	"Shigellosis due to Shigella sonnei"	"A03.3"	"2017"	"2017"	1	325719178	Unreliable
	"Shigellosis, unspecified"	"A03.9"	"2011"	"2011"	3	311591917	Unreliable
	"Shigellosis, unspecified"	"A03.9"	"2012"	"2012"	2	313914040	Unreliable
