"Notes"	"Cause of death"	"Cause of death Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Female"	"F"	"2011"	"2011"	"New York"	"36"	323	10033393	3.2
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Female"	"F"	"2012"	"2012"	"New York"	"36"	322	10081044	3.2
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Female"	"F"	"2013"	"2013"	"New York"	"36"	291	10114934	2.9
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Female"	"F"	"2014"	"2014"	"New York"	"36"	242	10164966	2.4
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Female"	"F"	"2015"	"2015"	"New York"	"36"	234	10184278	2.3
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Male"	"M"	"2011"	"2011"	"New York"	"36"	205	9431804	2.2
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Male"	"M"	"2012"	"2012"	"New York"	"36"	189	9489217	2.0
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Male"	"M"	"2013"	"2013"	"New York"	"36"	187	9536193	2.0
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Male"	"M"	"2014"	"2014"	"New York"	"36"	145	9581261	1.5
	"Enterocolitis due to Clostridium difficile"	"A04.7"	"Male"	"M"	"2015"	"2015"	"New York"	"36"	159	9611513	1.7
	"Other specified bacterial intestinal infections"	"A04.8"	"Female"	"F"	"2012"	"2012"	"New York"	"36"	14	10081044	Unreliable
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Female"	"F"	"2011"	"2011"	"New York"	"36"	29	10033393	0.3
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Female"	"F"	"2012"	"2012"	"New York"	"36"	28	10081044	0.3
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Female"	"F"	"2013"	"2013"	"New York"	"36"	26	10114934	0.3
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"Female"	"F"	"2014"	"2014"	"New York"	"36"	18	10164966	Unreliable
